id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
567,YMR199W,sce04011
568,YJL101C,sce01240
569,YHR062C,sce03008
570,YBR133C,sce04011
571,YGR180C,sce00480
572,YOR143C,sce01240
573,YDR315C,sce04070
574,YLR378C,sce04145
575,YAR071W,sce00740
576,YPL028W,sce00380
577,YKL058W,sce03022
578,YIL078W,sce00970
579,YJL013C,sce04111
580,YBL026W,sce03018
581,YDR280W,sce03018
582,YDL022W,sce04011
583,YJL124C,sce03018
584,YKL022C,sce04120
585,YPL050C,sce00513
586,YLR160C,sce00460
587,YNL009W,sce00480
588,YLR448W,sce03010
589,YHR171W,sce04138
590,YDR377W,sce00190
591,YKL101W,sce04011
592,YPR118W,sce00270
593,YNCC0004C,sce00970
594,YNCP0005C,sce03008
595,YDR450W,sce03010
596,YDR113C,sce04111
597,YGR256W,sce01200
598,YBL076C,sce00970
599,YNR035C,sce04138
600,YOR081C,sce00561
601,YHR183W,sce01200
602,YCL064C,sce00270
603,YMR296C,sce04138
604,YDR468C,sce04130
605,YER005W,sce01232
606,YBR111C,sce00740
607,YPL166W,sce04138
608,YLR417W,sce04144
609,YKL152C,sce01110
610,YOR351C,sce04113
611,YDR260C,sce04111
612,YNCG0021W,sce00970
613,YMR300C,sce00230
614,YOR184W,sce01240
615,YPL061W,sce00410
616,YPL087W,sce00600
617,YML070W,sce00680
618,YDR236C,sce01240
619,YFR055W,sce01110
620,YOR081C,sce00100
621,YDR019C,sce00260
622,YNL071W,sce01110
623,YJL187C,sce04111
624,YMR149W,sce04141
625,YLR304C,sce01200
626,YBL099W,sce00190
627,YGL212W,sce04138
628,YMR170C,sce00410
629,YJR016C,sce01230
630,YIL035C,sce04139
631,YHR174W,sce01230
632,YNR016C,sce00640
633,YNCM0027W,sce00970
634,YDR325W,sce04111
635,YBL084C,sce04111
636,YDR172W,sce03015
637,YLR022C,sce03008
638,YML092C,sce03050
639,YNL145W,sce04011
640,YIL145C,sce01110
641,YIL026C,sce04113
642,YHR027C,sce03050
643,YJR117W,sce00900
644,YMR172W,sce04011
645,YDR148C,sce01200
646,YIL111W,sce00190
647,YKL127W,sce00500
648,YML056C,sce01110
649,YNL009W,sce01110
650,YPR166C,sce03010
651,YER178W,sce01200
652,YBL013W,sce00970
653,YJR043C,sce03430
654,YER062C,sce00561
655,YKR089C,sce00561
